Stress,SO2,O3,William
Well-watered,0,0.02,8.623533227
Well-watered,0,0.05,8.69064217
Well-watered,0,0.07,8.360071436
Well-watered,0,0.08,8.151909873
Well-watered,0,0.1,8.032684876
Well-watered,0.02,0.02,8.53542596
Well-watered,0.02,0.05,8.466320861
Well-watered,0.02,0.07,8.350429974
Well-watered,0.02,0.08,7.961021466
Well-watered,0.02,0.1,8.041091004
Well-watered,0.06,0.02,8.462948177
Well-watered,0.06,0.05,8.208491752
Well-watered,0.06,0.07,8.127404563
Well-watered,0.06,0.08,7.956476798
Well-watered,0.06,0.1,7.846589975
Stressed,0,0.02,8.416267273
Stressed,0,0.05,8.021912779
Stressed,0,0.07,8.167919363
Stressed,0,0.08,8.118802997
Stressed,0,0.1,7.887208586
Stressed,0.02,0.02,8.490643856
Stressed,0.02,0.05,8.235890726
Stressed,0.02,0.07,7.99125393
Stressed,0.02,0.08,8.164225652
Stressed,0.02,0.1,7.950854858
Stressed,0.06,0.02,8.307952545
Stressed,0.06,0.05,7.922261058
Stressed,0.06,0.07,8.037220031
Stressed,0.06,0.08,7.782390336
Stressed,0.06,0.1,7.650168701
